Relocated,HasDebt,PayTuition,Gender,HasScholarship,X2,X4,X5,X8,X9,X10,X11,Dropout
-1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.17692307692307718,-0.5652173913043479,-0.6363636363636364,-0.7,0.24193548387096775,0
1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.35576923076923106,-0.5652173913043479,-0.6363636363636364,-0.5,0.30967741935483883,0
-1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.7142857142857143,0.23076923076923106,-0.5652173913043479,-0.5151515151515151,-0.5,0.17419354838709689,0
-1.0,1.0,1.0,1.0,1.0,-0.5652173913043478,-0.5238095238095238,0.23076923076923106,-0.5652173913043479,-0.3333333333333335,-0.8,0.24193548387096775,0
-1.0,-1.0,1.0,-1.0,1.0,-0.4782608695652173,-0.4285714285714286,0.384615384615385,-0.4782608695652175,-0.5757575757575757,-0.4,0.35483870967741926,0
-1.0,-1.0,1.0,-1.0,1.0,-0.4782608695652173,-0.4285714285714286,0.4567307692307696,-0.4782608695652175,-0.3939393939393938,-0.4,0.490322580645161,0
-1.0,1.0,-1.0,1.0,-1.0,-0.3913043478260869,-1.0,-1.0,-0.39130434782608703,-0.5757575757575757,-0.9,0.12903225806451601,1
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.6190476190476191,0.35576923076923106,-0.4782608695652175,-0.5151515151515151,-0.6,0.38306451612903203,1
-1.0,-1.0,1.0,-1.0,1.0,-0.4782608695652173,-0.4285714285714286,0.5961538461538465,-0.4782608695652175,-0.5757575757575757,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,-1.0,-0.30434782608695643,-0.4285714285714286,0.5573076923076927,-0.30434782608695654,-0.3333333333333335,-0.4,0.5238172043010754,0
-1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.5494505494505499,-0.4782608695652175,-0.2727272727272727,-0.6,0.2983870967741935,0
1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.6153846153846154,-0.5652173913043479,-0.4545454545454546,-0.6,0.7500000000000002,0
1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.5238095238095238,0.5288461538461542,-0.5652173913043479,-0.6363636363636364,-0.5,0.33602150537634423,0
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.34615384615384626,-0.4782608695652175,-0.15151515151515138,-0.7,0.35483870967741926,0
1.0,-1.0,1.0,-1.0,-1.0,-0.3913043478260869,-0.33333333333333337,0.4423076923076925,-0.30434782608695654,-0.4545454545454546,-0.30000000000000004,0.4725806451612904,0
-1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.4230769230769236,-0.4782608695652175,-0.3939393939393938,-0.5,0.21935483870967754,0
1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.8095238095238095,0.384615384615385,-0.4782608695652175,-0.2727272727272727,-0.9,0.467741935483871,1
-1.0,-1.0,1.0,-1.0,1.0,-0.4782608695652173,-0.4285714285714286,0.4423076923076925,-0.4782608695652175,-0.6363636363636364,-0.4,0.4489247311827955,0
1.0,-1.0,1.0,1.0,1.0,-0.3913043478260869,-0.5238095238095238,0.4038461538461542,-0.30434782608695654,-0.15151515151515138,-0.5,0.6709677419354843,1
-1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.384615384615385,-0.5652173913043479,-0.4545454545454546,-0.5,0.42258064516129035,0
1.0,-1.0,1.0,-1.0,1.0,-0.3913043478260869,-0.33333333333333337,0.37179487179487203,-0.30434782608695654,-0.3939393939393938,-0.19999999999999996,0.34989919354838706,0
-1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.5238095238095238,0.7142857142857149,-0.5652173913043479,-0.5757575757575757,-0.5,0.7096774193548385,0
1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.8095238095238095,0.2692307692307694,-0.5652173913043479,-0.6969696969696969,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.30769230769230793,-0.4782608695652175,-0.5757575757575757,-0.4,0.185483870967742,0
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.5238095238095238,0.5692307692307694,-0.4782608695652175,-0.3939393939393938,-0.6,0.6088709677419353,0
1.0,-1.0,1.0,-1.0,-1.0,-0.3913043478260869,-0.33333333333333337,0.5147692307692311,-0.30434782608695654,-0.21212121212121204,-0.4,0.4895698924731182,0
1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.4038461538461542,-0.4782608695652175,-0.15151515151515138,-0.6,0.467741935483871,0
1.0,1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.6730769230769234,-0.4782608695652175,-0.5151515151515151,-0.7,0.5053763440860215,1
1.0,-1.0,1.0,-1.0,1.0,-0.5652173913043478,-0.6190476190476191,0.24038461538461542,-0.5652173913043479,-0.6969696969696969,-0.5,0.467741935483871,0
-1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-1.0,-1.0,-0.5652173913043479,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,-0.9130434782608695,-1.0,-1.0,-0.5652173913043479,-0.5151515151515151,-1.0,-1.0,1
1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.4835164835164838,-0.4782608695652175,-0.6363636363636364,-0.4,0.48655913978494625,0
1.0,1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.9047619047619048,0.5000000000000002,-0.5652173913043479,-0.15151515151515138,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.36153846153846203,-0.5652173913043479,-0.5757575757575757,-0.8,0.2983870967741935,0
1.0,-1.0,1.0,-1.0,1.0,-0.3913043478260869,-0.4285714285714286,0.5634615384615389,-0.39130434782608703,-0.5757575757575757,-0.4,0.5298387096774195,0
-1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.5238095238095238,0.17692307692307718,-0.5652173913043479,-0.5151515151515151,-0.7,0.35483870967741926,0
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.5238095238095238,0.7307692307692306,-0.4782608695652175,-0.4545454545454546,-0.4,0.5161290322580645,0
-1.0,1.0,-1.0,1.0,-1.0,-0.5652173913043478,-0.6190476190476191,0.5576923076923084,-0.5652173913043479,-0.2727272727272727,-0.7,0.31720430107526876,1
1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.7142857142857143,0.23076923076923106,-0.5652173913043479,-0.4545454545454546,-1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.6190476190476191,0.2692307692307694,-0.4782608695652175,-0.6363636363636364,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,-0.5652173913043478,-1.0,-1.0,-0.5652173913043479,-0.5757575757575757,-1.0,-1.0,1
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.6346153846153848,-0.4782608695652175,-0.5757575757575757,-0.4,0.543010752688172,0
1.0,-1.0,1.0,-1.0,-1.0,-0.5652173913043478,-0.5238095238095238,0.5000000000000002,-0.5652173913043479,-0.4545454545454546,-0.6,0.49596774193548376,0
1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.7500000000000007,-0.4782608695652175,-0.4545454545454546,-0.4,0.5806451612903225,0
1.0,-1.0,1.0,1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.5000000000000002,-0.4782608695652175,-0.5151515151515151,-0.9,0.12903225806451601,0
1.0,-1.0,1.0,-1.0,1.0,-0.3913043478260869,-0.4285714285714286,0.5480769230769229,-0.39130434782608703,-0.5757575757575757,-0.4,0.514784946236559,0
1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,-1.0,-0.30434782608695643,-0.33333333333333337,0.8395604395604397,-0.30434782608695654,-0.5151515151515151,-0.30000000000000004,0.7999999999999996,0
1.0,-1.0,1.0,-1.0,-1.0,-0.4782608695652173,-0.4285714285714286,0.4835164835164838,-0.4782608695652175,-0.5757575757575757,-0.4,0.543010752688172,0
-1.0,-1.0,1.0,1.0,-1.0,-0.5652173913043478,-0.5238095238095238,0.453846153846154,-0.5652173913043479,-0.5757575757575757,-0.5,0.5483870967741935,0
